month,product_group_id,product_group_name,market_revenue,revenue_amazon
2025-01-01,1,Portable Computers,13977431040.0,3181098752.0
2025-02-01,1,Portable Computers,11198192640.0,3371899392.0
2025-03-01,1,Portable Computers,14120984576.0,3414430464.0
2025-04-01,1,Portable Computers,10124763136.0,2742703104.0
2025-05-01,1,Portable Computers,13446794240.0,3533144576.0
2025-06-01,1,Portable Computers,12689307648.0,3201622784.0
2025-07-01,1,Portable Computers,13268146176.0,3256996608.0
2025-08-01,1,Portable Computers,12460462080.0,3153903360.0
2025-09-01,1,Portable Computers,11474966528.0,2915726592.0
2025-10-01,1,Portable Computers,12010314752.0,3150795776.0
2025-11-01,1,Portable Computers,13352145920.0,3475063552.0
2025-12-01,1,Portable Computers,10917788672.0,2857363712.0
2025-01-01,2,Cooling Systems,5575773696.0,455453760.0
2025-02-01,2,Cooling Systems,5866787328.0,546449856.0
2025-03-01,2,Cooling Systems,5816494592.0,635549632.0
2025-04-01,2,Cooling Systems,5903954944.0,674032896.0
2025-05-01,2,Cooling Systems,6573612544.0,685057408.0
2025-06-01,2,Cooling Systems,6334146048.0,592077952.0
2025-07-01,2,Cooling Systems,5893954048.0,581063488.0
2025-08-01,2,Cooling Systems,6138859520.0,558805760.0
2025-09-01,2,Cooling Systems,6635595776.0,553535872.0
2025-10-01,2,Cooling Systems,6154065408.0,599824640.0
2025-11-01,2,Cooling Systems,6177438208.0,600354816.0
2025-12-01,2,Cooling Systems,6484089344.0,553065856.0
2025-01-01,3,Frozen Storage Units,1553623808.0,143680096.0
2025-02-01,3,Frozen Storage Units,1263714688.0,142338320.0
2025-03-01,3,Frozen Storage Units,1651938816.0,147215808.0
2025-04-01,3,Frozen Storage Units,1411281536.0,149051200.0
2025-05-01,3,Frozen Storage Units,1784782080.0,163654768.0
2025-06-01,3,Frozen Storage Units,1782579584.0,170652256.0
2025-07-01,3,Frozen Storage Units,1568585088.0,167395952.0
2025-08-01,3,Frozen Storage Units,1459183488.0,163365456.0
2025-09-01,3,Frozen Storage Units,1442363264.0,156552880.0
2025-10-01,3,Frozen Storage Units,1160550656.0,125958968.0
2025-11-01,3,Frozen Storage Units,1412925312.0,127079744.0
2025-12-01,3,Frozen Storage Units,1381484416.0,124228688.0
2025-01-01,4,Laundry Machines,5839903744.0,524902816.0
2025-02-01,4,Laundry Machines,6493909504.0,509542944.0
2025-03-01,4,Laundry Machines,7402139648.0,628592512.0
2025-04-01,4,Laundry Machines,6816835072.0,505339712.0
2025-05-01,4,Laundry Machines,7461795840.0,606294208.0
2025-06-01,4,Laundry Machines,6253051392.0,573087040.0
2025-07-01,4,Laundry Machines,6238699008.0,492125632.0
2025-08-01,4,Laundry Machines,6048404992.0,522929856.0
2025-09-01,4,Laundry Machines,6260230144.0,622374016.0
2025-10-01,4,Laundry Machines,6250207232.0,531338112.0
2025-11-01,4,Laundry Machines,6572985856.0,580291264.0
2025-12-01,4,Laundry Machines,6259639808.0,571881664.0
2025-01-01,5,Dish Cleaning Machines,1444619776.0,206270112.0
2025-02-01,5,Dish Cleaning Machines,1259581824.0,198879456.0
2025-03-01,5,Dish Cleaning Machines,1534396928.0,199989136.0
2025-04-01,5,Dish Cleaning Machines,1537938048.0,201930512.0
2025-05-01,5,Dish Cleaning Machines,1483044480.0,185553888.0
2025-06-01,5,Dish Cleaning Machines,1416639232.0,190718048.0
2025-07-01,5,Dish Cleaning Machines,1463879168.0,194440096.0
2025-08-01,5,Dish Cleaning Machines,1456978432.0,198353168.0
2025-09-01,5,Dish Cleaning Machines,1363176192.0,170181072.0
2025-10-01,5,Dish Cleaning Machines,1488883968.0,182370704.0
2025-11-01,5,Dish Cleaning Machines,1482724224.0,182215888.0
2025-12-01,5,Dish Cleaning Machines,1378982656.0,185293088.0
2025-01-01,6,Microwave Cookers,1728507520.0,234609264.0
2025-02-01,6,Microwave Cookers,1580581120.0,200627232.0
2025-03-01,6,Microwave Cookers,1636886016.0,195289392.0
2025-04-01,6,Microwave Cookers,1601349248.0,195588320.0
2025-05-01,6,Microwave Cookers,1734772352.0,216183968.0
2025-06-01,6,Microwave Cookers,1633385472.0,180807376.0
2025-07-01,6,Microwave Cookers,1550858240.0,168834112.0
2025-08-01,6,Microwave Cookers,1659548672.0,211722176.0
2025-09-01,6,Microwave Cookers,1424951424.0,158217088.0
2025-10-01,6,Microwave Cookers,1339810560.0,154770688.0
2025-11-01,6,Microwave Cookers,1303684864.0,158298112.0
2025-12-01,6,Microwave Cookers,1320727040.0,178484032.0
2025-01-01,7,Kitchen Ventilation Systems,1000000000.0,108030136.0
2025-02-01,7,Kitchen Ventilation Systems,1000000000.0,113097576.0
2025-03-01,7,Kitchen Ventilation Systems,1000000000.0,108507336.0
2025-04-01,7,Kitchen Ventilation Systems,1000000000.0,110107584.0
2025-05-01,7,Kitchen Ventilation Systems,1000000000.0,105026536.0
2025-06-01,7,Kitchen Ventilation Systems,1000000000.0,105833304.0
2025-07-01,7,Kitchen Ventilation Systems,1000000000.0,103437392.0
2025-08-01,7,Kitchen Ventilation Systems,1000000000.0,104874280.0
2025-09-01,7,Kitchen Ventilation Systems,1000000000.0,112509080.0
2025-10-01,7,Kitchen Ventilation Systems,1000000000.0,114255664.0
2025-11-01,7,Kitchen Ventilation Systems,1000000000.0,117065440.0
