month,product_group_id,product_group_name,market_revenue,revenue_amazon
2024-01-01,1,Portable Computers,15399832576.0,3591499520.0
2024-02-01,1,Portable Computers,13582530560.0,3019397888.0
2024-03-01,1,Portable Computers,14281430016.0,3651919104.0
2024-04-01,1,Portable Computers,12966227968.0,3058895360.0
2024-05-01,1,Portable Computers,12754676736.0,3708129792.0
2024-06-01,1,Portable Computers,12143298560.0,2802153472.0
2024-07-01,1,Portable Computers,13190502400.0,3702529792.0
2024-08-01,1,Portable Computers,13581404160.0,3059391232.0
2024-09-01,1,Portable Computers,12224801792.0,3017073152.0
2024-10-01,1,Portable Computers,12311882752.0,3083368448.0
2024-11-01,1,Portable Computers,13572760576.0,3249127936.0
2024-12-01,1,Portable Computers,12708226048.0,3016476160.0
2024-01-01,2,Cooling Systems,6250466304.0,525857216.0
2024-02-01,2,Cooling Systems,6239942144.0,506523584.0
2024-03-01,2,Cooling Systems,6569973248.0,518028512.0
2024-04-01,2,Cooling Systems,6337314816.0,530351008.0
2024-05-01,2,Cooling Systems,6553848832.0,480775168.0
2024-06-01,2,Cooling Systems,6873419264.0,441806272.0
2024-07-01,2,Cooling Systems,5830402048.0,482127008.0
2024-08-01,2,Cooling Systems,6547706880.0,533819968.0
2024-09-01,2,Cooling Systems,6295536640.0,487829440.0
2024-10-01,2,Cooling Systems,6639260160.0,480149568.0
2024-11-01,2,Cooling Systems,6631029760.0,482669440.0
2024-12-01,2,Cooling Systems,6442915328.0,459769472.0
2024-01-01,3,Frozen Storage Units,1406098176.0,138606416.0
2024-02-01,3,Frozen Storage Units,1443390208.0,144198144.0
2024-03-01,3,Frozen Storage Units,1395449344.0,152720576.0
2024-04-01,3,Frozen Storage Units,1522451072.0,172360224.0
2024-05-01,3,Frozen Storage Units,1543344512.0,185031056.0
2024-06-01,3,Frozen Storage Units,1625399936.0,153947904.0
2024-07-01,3,Frozen Storage Units,1727112960.0,205443504.0
2024-08-01,3,Frozen Storage Units,1612796032.0,192549920.0
2024-09-01,3,Frozen Storage Units,1586842112.0,192114512.0
2024-10-01,3,Frozen Storage Units,1423890432.0,156916160.0
2024-11-01,3,Frozen Storage Units,1387825536.0,157565648.0
2024-12-01,3,Frozen Storage Units,1346653184.0,152794496.0
2024-01-01,4,Laundry Machines,7106736128.0,542497024.0
2024-02-01,4,Laundry Machines,6215706112.0,554157632.0
2024-03-01,4,Laundry Machines,7594032640.0,647646656.0
2024-04-01,4,Laundry Machines,7889312256.0,607238016.0
2024-05-01,4,Laundry Machines,8611600384.0,690808832.0
2024-06-01,4,Laundry Machines,7863446528.0,702615936.0
2024-07-01,4,Laundry Machines,6801726976.0,615522624.0
2024-08-01,4,Laundry Machines,7261784064.0,799458240.0
2024-09-01,4,Laundry Machines,7889445888.0,780515776.0
2024-10-01,4,Laundry Machines,6833508864.0,651380992.0
2024-11-01,4,Laundry Machines,6443353600.0,616046656.0
2024-12-01,4,Laundry Machines,6208345088.0,521639040.0
2024-01-01,5,Dish Cleaning Machines,1608218496.0,223303008.0
2024-02-01,5,Dish Cleaning Machines,1579106944.0,241426192.0
2024-03-01,5,Dish Cleaning Machines,1502549504.0,212214704.0
2024-04-01,5,Dish Cleaning Machines,1498162688.0,196976288.0
2024-05-01,5,Dish Cleaning Machines,1555405568.0,202073024.0
2024-06-01,5,Dish Cleaning Machines,1572977536.0,255990576.0
2024-07-01,5,Dish Cleaning Machines,1566559360.0,235742416.0
2024-08-01,5,Dish Cleaning Machines,1685928320.0,235318080.0
2024-09-01,5,Dish Cleaning Machines,1528697088.0,224475808.0
2024-10-01,5,Dish Cleaning Machines,1517688448.0,229756944.0
2024-11-01,5,Dish Cleaning Machines,1495024384.0,198562704.0
2024-12-01,5,Dish Cleaning Machines,1429446528.0,185813936.0
2024-01-01,6,Microwave Cookers,1473725440.0,190827824.0
2024-02-01,6,Microwave Cookers,1530356608.0,204552320.0
2024-03-01,6,Microwave Cookers,1544619520.0,213433760.0
2024-04-01,6,Microwave Cookers,1503014528.0,198191072.0
2024-05-01,6,Microwave Cookers,1582286336.0,217118304.0
2024-06-01,6,Microwave Cookers,1579866752.0,215241920.0
2024-07-01,6,Microwave Cookers,1566203008.0,206581616.0
2024-08-01,6,Microwave Cookers,1695725824.0,233600240.0
2024-09-01,6,Microwave Cookers,1467826048.0,189078992.0
2024-10-01,6,Microwave Cookers,1595526144.0,192107792.0
2024-11-01,6,Microwave Cookers,1648848896.0,200040640.0
2024-12-01,6,Microwave Cookers,1666822784.0,204735648.0
2024-01-01,7,Kitchen Ventilation Systems,1000000000.0,111025688.0
2024-02-01,7,Kitchen Ventilation Systems,1000000000.0,120248872.0
2024-03-01,7,Kitchen Ventilation Systems,1000000000.0,113401016.0
2024-04-01,7,Kitchen Ventilation Systems,1000000000.0,107546248.0
2024-05-01,7,Kitchen Ventilation Systems,1000000000.0,115984296.0
2024-06-01,7,Kitchen Ventilation Systems,1000000000.0,107568712.0
2024-07-01,7,Kitchen Ventilation Systems,1000000000.0,99773144.0
2024-08-01,7,Kitchen Ventilation Systems,1000000000.0,105349216.0
2024-09-01,7,Kitchen Ventilation Systems,1000000000.0,108517784.0
2024-10-01,7,Kitchen Ventilation Systems,1000000000.0,107052848.0
2024-11-01,7,Kitchen Ventilation Systems,1000000000.0,104673120.0
2024-12-01,7,Kitchen Ventilation Systems,1000000000.0,109626144.0
2024-01-01,8,Integrated Stovetops,1444104064.0,149855856.0
2024-02-01,8,Integrated Stovetops,1787398656.0,211821824.0
2024-03-01,8,Integrated Stovetops,1706806016.0,154526896.0
2024-04-01,8,Integrated Stovetops,1423625728.0,125378112.0
2024-05-01,8,Integrated Stovetops,1666936192.0,139456064.0
2024-06-01,8,Integrated Stovetops,1182292864.0,123390224.0
2024-07-01,8,Integrated Stovetops,1322454912.0,128326832.0
2024-08-01,8,Integrated Stovetops,1338023936.0,138281968.0
2024-09-01,8,Integrated Stovetops,1467897216.0,137192000.0
2024-10-01,8,Integrated Stovetops,1385594752.0,124338904.0
2024-11-01,8,Integrated Stovetops,1348517888.0,125566272.0
2024-12-01,8,Integrated Stovetops,1345170048.0,123508288.0
2024-01-01,9,Cooking Appliances,1593341056.0,141868624.0
2024-02-01,9,Cooking Appliances,1546180480.0,160034176.0
2024-03-01,9,Cooking Appliances,1476755072.0,177975728.0
2024-04-01,9,Cooking Appliances,1474277760.0,152636688.0
2024-05-01,9,Cooking Appliances,1486184064.0,149642384.0
2024-06-01,9,Cooking Appliances,1483114368.0,152748640.0
2024-07-01,9,Cooking Appliances,1565891584.0,159897536.0
2024-08-01,9,Cooking Appliances,1437921792.0,164452496.0
2024-09-01,9,Cooking Appliances,1377386112.0,155894672.0
2024-10-01,9,Cooking Appliances,1487811584.0,168708736.0
2024-11-01,9,Cooking Appliances,1501969408.0,171067120.0
2024-12-01,9,Cooking Appliances,1511246720.0,167806848.0
2024-01-01,10,Baking Ovens,1445174144.0,159871952.0
2024-02-01,10,Baking Ovens,1410907264.0,140766880.0
2024-03-01,10,Baking Ovens,1257699200.0,120124272.0
2024-04-01,10,Baking Ovens,1411029888.0,131768320.0
2024-05-01,10,Baking Ovens,1228508800.0,112601912.0
2024-06-01,10,Baking Ovens,1263777664.0,126020552.0
2024-07-01,10,Baking Ovens,1380496768.0,133273336.0
2024-08-01,10,Baking Ovens,1488169088.0,138523232.0
2024-09-01,10,Baking Ovens,1435034240.0,146852192.0
2024-10-01,10,Baking Ovens,1352481408.0,153031952.0
2024-11-01,10,Baking Ovens,1514595328.0,125171240.0
2024-12-01,10,Baking Ovens,1277967104.0,152168400.0
2024-01-01,11,Climate Control Units,1000000000.0,140679104.0
2024-02-01,11,Climate Control Units,1000000000.0,140651968.0
2024-03-01,11,Climate Control Units,1000000000.0,133998184.0
2024-04-01,11,Climate Control Units,1000000000.0,148758528.0
2024-05-01,11,Climate Control Units,1000000000.0,141323936.0
2024-06-01,11,Climate Control Units,1000000000.0,149314448.0
2024-07-01,11,Climate Control Units,1000000000.0,139596048.0
2024-08-01,11,Climate Control Units,1000000000.0,148088944.0
2024-09-01,11,Climate Control Units,1000000000.0,142877616.0
2024-10-01,11,Climate Control Units,1000000000.0,148768832.0
2024-11-01,11,Climate Control Units,1000000000.0,135263344.0
2024-12-01,11,Climate Control Units,1000000000.0,144685120.0
2024-01-01,13,Digital Tablets,3359460608.0,452915296.0
2024-02-01,13,Digital Tablets,3355964672.0,439054720.0
2024-03-01,13,Digital Tablets,3472769024.0,457486496.0
2024-04-01,13,Digital Tablets,3179640320.0,384485888.0
2024-05-01,13,Digital Tablets,3224623360.0,426229440.0
2024-06-01,13,Digital Tablets,2961408512.0,364018016.0
2024-07-01,13,Digital Tablets,2585918464.0,378512256.0
2024-08-01,13,Digital Tablets,2586774016.0,358565088.0
2024-09-01,13,Digital Tablets,3188926464.0,435523360.0
2024-10-01,13,Digital Tablets,3060651264.0,470118752.0
2024-11-01,13,Digital Tablets,3321040128.0,447470848.0
2024-12-01,13,Digital Tablets,3283121664.0,356378336.0
2024-01-01,14,Display Screens,1322056832.0,584954368.0
2024-02-01,14,Display Screens,1335385600.0,578590976.0
2024-03-01,14,Display Screens,1429645952.0,587559424.0
2024-04-01,14,Display Screens,1320662656.0,539019584.0
2024-05-01,14,Display Screens,1439718528.0,531781312.0
2024-06-01,14,Display Screens,1399726976.0,593077696.0
2024-07-01,14,Display Screens,1716200192.0,620685248.0
2024-08-01,14,Display Screens,1689553792.0,504046784.0
2024-09-01,14,Display Screens,1475945600.0,484275808.0
2024-10-01,14,Display Screens,1381822720.0,524460704.0
2024-11-01,14,Display Screens,1365443584.0,519458080.0
2024-12-01,14,Display Screens,1422400256.0,536906688.0
2024-01-01,15,Mobile Phones & Refurbished Devices,37723836416.0,2258026752.0
2024-02-01,15,Mobile Phones & Refurbished Devices,41659969536.0,2165390848.0
2024-03-01,15,Mobile Phones & Refurbished Devices,35608825856.0,1930506240.0
2024-04-01,15,Mobile Phones & Refurbished Devices,45892386816.0,2070979200.0
2024-05-01,15,Mobile Phones & Refurbished Devices,37227491328.0,1830812288.0
2024-06-01,15,Mobile Phones & Refurbished Devices,37346770944.0,2240785664.0
2024-07-01,15,Mobile Phones & Refurbished Devices,37681909760.0,2436411392.0
2024-08-01,15,Mobile Phones & Refurbished Devices,44513775616.0,2264383744.0
2024-09-01,15,Mobile Phones & Refurbished Devices,40423051264.0,2280658688.0
2024-10-01,15,Mobile Phones & Refurbished Devices,44992729088.0,2178758144.0
2024-11-01,15,Mobile Phones & Refurbished Devices,37280206848.0,2050189952.0
2024-12-01,15,Mobile Phones & Refurbished Devices,36958146560.0,2294620672.0
2024-01-01,16,Flat-Screen TVs,8970412032.0,848508928.0
2024-02-01,16,Flat-Screen TVs,11026620416.0,1078920448.0
2024-03-01,16,Flat-Screen TVs,11125948416.0,1055395840.0
2024-04-01,16,Flat-Screen TVs,9643600896.0,1052035328.0
2024-05-01,16,Flat-Screen TVs,10797644800.0,880509248.0
2024-06-01,16,Flat-Screen TVs,9531528192.0,813866624.0
2024-07-01,16,Flat-Screen TVs,9316260864.0,932322048.0
2024-08-01,16,Flat-Screen TVs,9902123008.0,1063777536.0
2024-09-01,16,Flat-Screen TVs,10835486720.0,1073546048.0
2024-10-01,16,Flat-Screen TVs,9820505088.0,984082944.0
2024-11-01,16,Flat-Screen TVs,9658046464.0,995130304.0
2024-12-01,16,Flat-Screen TVs,9666672640.0,882023744.0
2024-01-01,17,Floor Cleaning Devices,4411795456.0,697794752.0
2024-02-01,17,Floor Cleaning Devices,4272057856.0,741437248.0
2024-03-01,17,Floor Cleaning Devices,4750213120.0,744696768.0
2024-04-01,17,Floor Cleaning Devices,4884421120.0,777337664.0
2024-05-01,17,Floor Cleaning Devices,4898276864.0,834144832.0
2024-06-01,17,Floor Cleaning Devices,5202724352.0,816169216.0
2024-07-01,17,Floor Cleaning Devices,5107450880.0,829302592.0
2024-08-01,17,Floor Cleaning Devices,4372738560.0,741276352.0
2024-09-01,17,Floor Cleaning Devices,4653997056.0,749333632.0
2024-10-01,17,Floor Cleaning Devices,4614941184.0,752341952.0
2024-11-01,17,Floor Cleaning Devices,4997156864.0,764904192.0
2024-12-01,17,Floor Cleaning Devices,4484706816.0,757010240.0
2024-01-01,18,Fabric Care Appliances,1445243520.0,259963840.0
2024-02-01,18,Fabric Care Appliances,1295213440.0,184516864.0
2024-03-01,18,Fabric Care Appliances,1395866880.0,234118368.0
2024-04-01,18,Fabric Care Appliances,1304518656.0,227965216.0
2024-05-01,18,Fabric Care Appliances,1322647040.0,216660832.0
2024-06-01,18,Fabric Care Appliances,1629650432.0,244506688.0
2024-07-01,18,Fabric Care Appliances,1339249408.0,244777136.0
2024-08-01,18,Fabric Care Appliances,1324899456.0,241043808.0
2024-09-01,18,Fabric Care Appliances,1449349248.0,248554080.0
2024-10-01,18,Fabric Care Appliances,1345890688.0,238917600.0
2024-11-01,18,Fabric Care Appliances,1707378432.0,268986176.0
2024-12-01,18,Fabric Care Appliances,1291978112.0,270930784.0
2024-01-01,19,Electric Cookware,1000000000.0,146597024.0
2024-02-01,19,Electric Cookware,1000000000.0,150434032.0
2024-03-01,19,Electric Cookware,1000000000.0,135084080.0
2024-04-01,19,Electric Cookware,1000000000.0,150258736.0
2024-05-01,19,Electric Cookware,1000000000.0,153349984.0
2024-06-01,19,Electric Cookware,1000000000.0,141129824.0
2024-07-01,19,Electric Cookware,1000000000.0,141982544.0
2024-08-01,19,Electric Cookware,1000000000.0,146433776.0
